51300033627,cag,119,203
51300035320,cfa,86,42
51300042550,cgd,73,248
51300104444,gfg,275,43
51300115014,cbb,5,210
51300169534,ace,196,32
51300198400,eff,290,98
51300199565,fdd,108,134
51300204953,fdf,290,177
51300223047,aec,35,107
51300265253,eae,134,58
51300271434,cee,298,16
51300307836,dga,221,279
51300327996,bgb,13,43
51300343391,dec,288,150
51300347091,fcd,211,27
51300379994,fcg,198,156
51300402595,beb,295,131
51300501588,efe,48,262
51300512531,dfg,188,154
51300534961,gbg,33,77
51300544108,fab,212,32
51300544965,gga,110,227
51300571222,fcg,78,173
51300578377,cbb,142,235
51300587038,fcc,212,56
51300617280,bfe,294,196
51300618890,edd,10,188
51300627093,gce,198,227
51300682928,ddf,29,210
51300706845,fbb,201,132
51300723161,bee,209,104
51300728164,gea,167,190
51300735386,eec,173,245
51300753042,ebb,78,185
51300809567,fgc,143,258
51300856328,cgf,21,250
51300924135,dfb,217,13
51300956986,dfd,261,287
51300961534,abg,173,137
51300969462,baa,53,118
51300972080,cad,104,27
51300991166,aee,180,206
51300999777,gbc,77,143
51301039656,fcd,143,29
51301057190,bfb,14,170
51301072397,bed,151,54
51301089968,fdf,295,173
51301097359,aba,76,224
51301107503,egb,10,44
51301151230,aee,276,228
51301201532,afd,249,292
51301244421,gcd,139,297
51301273859,dcb,87,182
51301298282,add,281,77
51301303245,cgb,80,289
51301315676,cgd,185,218
51301339666,gdb,154,102
51301352687,cfg,290,295
51301353892,acb,144,81
51301363505,cfe,74,10
51301371559,fgc,12,296
51301384271,bae,267,192
51301392557,gbb,87,277
51301408481,bcd,192,179
51301417988,afa,123,157
51301432960,eee,33,176
51301482849,cfg,37,289
51301503142,egd,239,244
51301524835,egd,42,204
51301526181,fae,198,208
51301535935,ggg,126,159
51301544561,fdg,263,116
51301549223,eeg,89,164
51301561449,aef,132,87
51301600374,bcc,237,293
51301619089,fef,90,36
51301619465,agb,227,236
51301649046,caa,158,88
51301672274,dbc,266,97
51301718705,efb,238,62
51301722326,adf,279,188
51301745534,cfc,37,290
51301748093,aba,271,199
51301773010,bff,154,194
51301794247,ddf,278,193
51301798916,bgf,260,280
51301820175,cfa,169,40
51301820356,ebc,10,55
51301843565,egc,166,30
51301853737,aad,278,88
51301869295,dcd,106,42
51301889454,fcg,16,178
51301918908,afa,109,127
51301940303,dbf,22,191
51301944709,bbe,73,125
51302012822,aaa,217,122
51302021608,fde,251,175
51302026751,bde,117,116
51302030080,gfb,105,72
51302071130,bac,16,280
51302107135,cba,13,87
51302112232,dfa,297,116
51302163396,cfg,40,251
51302196476,abd,21,110
51302210177,aff,58,71
51302227238,egc,29,26
51302253848,ggf,15,144
51302257588,gdb,266,120
51302316460,feb,156,122
51302366104,eec,132,218
51302424930,ace,136,37
51302426313,dcb,31,172
51302440637,gcd,60,329
51302445874,dbg,124,29
51302451919,bfg,296,53
51302471720,bad,109,293
51302473991,adc,186,178
51302490388,bde,45,129
51302512968,bed,25,57
51302541577,eaf,183,103
51302543588,ffg,104,38
51302593517,aba,14,202
51302597533,edb,42,81
51302600986,egc,52,24
51302611362,bdd,161,54
51302618695,cgd,217,257
51302635002,gfd,25,252
51302647604,fda,298,229
51302667000,dec,25,162
51302670122,cfe,206,11
51302686431,gfe,46,191
51302727194,bga,299,50
51302778916,ede,88,185
51302828007,ebb,56,153
51302830050,dec,44,149
51302844389,gge,247,165
51302857552,daa,233,130
51302900286,eed,276,296
51302930717,gec,180,245
51302931538,bca,100,76
51302937276,ebf,164,43
51302945360,agf,147,43
51302948257,acb,195,68
51303011712,cbc,212,299
51303033085,edc,61,288
51303043464,efb,70,63
51303055012,bea,181,170
51303060279,cdb,87,253
51303107524,add,271,62
51303112116,cdd,208,196
51303129197,aef,47,80
51303132501,efa,127,132
51303133976,daf,264,189
51303149726,baf,105,104
51303163407,fba,54,110
51303210648,beg,175,155
51303226410,gdd,79,199
51303235023,beb,119,146
51303242250,fbg,111,73
51303276395,ccb,72,231
51303285904,aea,211,173
51303328258,bdf,48,206
51303329658,cba,209,92
51303401068,gbe,286,81
51303413984,bbc,29,278
51303414637,dfb,48,13
51303414858,aag,138,119
51303428218,ffb,244,118
51303436454,cba,169,82
51303510625,aac,23,159
51303531368,cbg,122,293
51303579652,fcc,148,65
51303592021,dca,3,6
51303597114,gea,169,186
51303602438,bca,284,70
51303623857,ffg,159,38
51303638863,bge,204,192
51303641271,bfc,205,56
51303651450,egb,237,36
51303708176,dee,258,283
51303730769,dcd,12,39
51303773663,fdb,232,54
51303777226,gff,17,140
51303802510,dag,61,105
51303804741,fed,216,89
51303817633,dgd,239,297
51303822143,dbc,191,79
51303827913,egb,73,33
51303828187,cfd,21,270
51303834727,bea,98,195
51303867620,eac,127,45
51303880088,fcd,85,23
51303901409,eda,123,97
51303913430,ecb,88,259
51303928371,fdf,286,166
51303929710,bac,4,246
51303986376,cff,277,216
51303991123,aab,118,76
51303994673,dca,237,6
51304010501,gbe,225,92
51304031896,efb,291,63
51304049839,afe,118,198
51304088223,aaf,205,115
51304117711,aag,252,117
51304132008,cba,242,93
51304133955,fff,230,47
51304150672,dda,56,47
51304178714,fbb,67,133
51304220426,gdc,196,221
51304239869,caf,129,26
51304277498,eeg,126,170
51304286037,ace,17,43
51304294252,dfd,22,235
51304305924,fff,73,55
51304314790,ebb,6,177
51304369802,dag,158,100
51304379589,cge,24,253
51304380561,fbc,165,20
51304381320,ccd,136,280
51304382431,eee,83,147
51304421445,daa,192,131
51304475081,gcc,56,140
51304497290,cga,291,153
51304566027,dcc,62,232
51304580846,cag,91,207
51304603574,dba,23,116
51304622580,aae,277,19
51304650914,dgd,112,329
51304670786,bfb,282,158
51304698413,agf,102,40
51304705728,ede,275,210
51304712289,dga,96,323
51304716288,cbf,36,68
51304719550,acf,16,193
51304739009,ece,22,124
51304777415,ecf,78,168
51304783074,afc,6,93
51304787117,ggf,198,123
51304789341,cee,145,15
51304820227,baa,289,118
51304843811,gaf,267,212
51304850866,fcb,154,142
51304865463,ccf,94,242
51304868718,agg,15,165
51304882345,bec,254,125
51304882526,eec,232,185
51304891523,agd,77,96
51304902851,afe,26,207
51304932096,dga,28,345
51304953060,ecd,62,18
51304964379,cdd,208,170
51304965660,dab,7,267
51304997546,afc,86,80
51305004804,dfe,142,220
51305007000,efg,44,72
51305007775,afb,195,44
51305043000,aed,233,49
51305049384,aga,29,189
51305065610,efd,260,296
51305065951,cgg,6,209
51305078158,aee,267,191
51305089708,bcf,294,113
51305116490,dgf,32,255
51305130349,dgc,118,77
51305158773,gca,279,45
51305159997,fba,10,99
51305171856,eea,117,50
51305180407,gbg,264,63
51305182647,bee,98,118
51305192150,cdf,279,206
51305222237,gce,55,267
51305223439,agd,11,94
51305238497,bea,150,193
51305290282,gfa,100,241
51305313544,gad,82,148
51305318345,ggc,249,165
51305346015,agb,299,278
51305367984,gcd,69,296
51305372181,fbg,140,86
51305384036,gdf,221,128
51305427539,ddc,297,40
51305439611,cbc,132,299
51305451537,cba,168,93
51305465196,bgd,202,181
51305525645,bef,183,67
51305538156,dee,180,240
51305569492,bee,227,130
51305592551,bcg,3,260
51305611730,fec,22,243
51305617743,aed,298,39
51305671752,ged,153,91
51305672219,eag,116,51
51305673882,edb,209,75
51305697582,ggg,184,187
51305702967,bfe,217,197
51305751495,agc,104,9
51305765184,bbb,141,215
51305775283,eac,133,41
51305813289,eba,289,215
51305837506,fed,63,79
51305864099,fce,128,121
51305864268,ace,93,40
51305869212,bga,143,53
51305874643,ceb,46,275
51305883881,gab,15,277
51305887621,ffc,120,241
51305891184,bgf,220,324
51305895860,dbf,166,219
51305911665,eac,56,32
51305946260,afd,217,309
51305959731,cae,218,122
51305970594,fba,177,87
51305997992,bde,12,144
51306023290,daf,273,209
51306102553,ffb,64,97
51306116640,dfb,254,10
51306143346,dgg,258,112
51306161970,gbe,265,80
51306180056,ege,216,65
51306238177,eed,27,298
51306238782,ega,190,232
51306247591,cbg,33,266
51306279755,eab,64,261
51306295951,dfg,292,164
51306306854,aeb,42,189
51306325251,fad,94,197
51306328804,fbc,85,19
51306331311,fbf,13,21
51306332571,eae,257,46
51306333015,egb,143,36
51306370873,gea,192,169
51306380782,fgb,31,150
51306409671,afa,60,114
51306426400,abe,203,72
51306429084,fbg,62,96
51306441346,gdd,128,236
51306443882,cbd,12,95
51306482646,acd,132,197
51306489835,ebd,44,133
51306497505,dee,226,196
51306515287,bdc,37,121
51306539451,gad,77,162
51306576260,edc,105,308
51306585233,aeg,114,178
51306592497,ggf,62,129
51306599728,ebf,154,44
51306599950,gbe,101,77
51306606652,ffg,268,34
51306631561,bed,95,66
51306647448,cbd,5,93
51306648935,bec,286,145
51306681243,fgd,298,127
51306684362,dfa,51,112
51306692649,aca,25,172
51306694256,bfa,127,264
51306716038,dfc,292,191
51306718657,cgg,60,242
51306719937,gae,113,232
51306726294,bba,200,191
51306731647,fdc,2,51
51306744847,gaa,121,207
51306747628,ccg,113,126
51306749762,geb,151,86
51306773691,abc,27,17
51306793808,dfa,267,96
51306813966,bdb,69,283
51306822094,afg,73,71
51306839590,dea,151,202
51306842070,dff,226,265
51306852385,bdc,226,124
51306917421,bgc,142,235
51306930912,age,16,60
51306942203,ffd,40,265
51306973147,bae,102,193
51306980280,bbe,138,132
51306996031,bgd,112,153
51307002127,dgc,261,83
51307010054,dcf,58,203
51307011172,fcc,115,74
51307014432,cga,50,126
51307024693,bbd,204,62
51307027827,fdg,84,138
51307030547,fae,203,203
51307037444,ffa,191,9
51307047972,fgg,3,291
51307051041,gda,280,234
51307086806,fee,227,144
51307088050,abg,52,139
51307096944,faa,1,236
51307099268,fgc,107,325
51307103808,ffd,177,299
51307129709,gag,283,154
51307141980,cac,171,115
51307163596,gcc,70,134
51307182744,caa,172,100
51307202677,gcb,110,60
51307204782,bba,269,171
51307218546,acf,2,181
51307243764,bbd,100,66
51307273330,bbg,25,113
51307283274,aea,69,160
51307289158,ceb,48,291
51307325717,cfg,264,266
51307342253,bed,215,58
51307350237,ffc,254,269
51307350822,eef,180,43
51307380347,dfa,169,95
51307390191,fca,47,157
51307393765,feg,6,118
51307405158,bcc,219,278
